ENM_NFT_ADDRESS,DC_CREATOR_ADDRESS,DC_CREATOR_IS_CONTRACT_ADDRESS,TX_CREATOR_ADDRESS
0xf366ca74054f404af6165ae7f3633f3c9135ebd3,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xe36d5c8a0b1c7868d02329acf085ab7571d34f3c
0x98f0582a2d66adc2bbab1b97410502d8b209b016,0x23f0dc26ba952fb9e4ac5a55976c7eaef6491cc2,0,0x23f0dc26ba952fb9e4ac5a55976c7eaef6491cc2
0x4008f6a6693cc0069a7b45030df13490f18168f4,0x69ad50ba6e8e2e167203ead6d55ee21730bfcf94,0,0x69ad50ba6e8e2e167203ead6d55ee21730bfcf94
0x62fd0ff0b8a149ac9dc135a32b35323091a81875,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x53ccfe0791bc72ac0d8961fb2158754a3014b696
0x53dcb3f5f3973a93ccb6f55d090f6ecf0c687b64,0x208833804d09cf965023f2bdb03d78e3056b4767,0,0x208833804d09cf965023f2bdb03d78e3056b4767
0x165d4d8983c5cfe542a083c25bfd491beead4900,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xb30bd997dcea4b465ebb4e41d02d418ba7e138d5
0x4808126c7630d5866c2065d2b90625056528e2ff,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x22c5a235ab25887a3427fd46215f8c3feb704e1b
0xf588fd29a8bdc70c54f6208de36428bd0ee438e6,0x000000f20032b9e171844b00ea507e11960bd94a,1,0x5ba9f4577a47ff7b837498f27bc88482b126bbd4
0xc7d63b8da54b0dba1ed5c989f69875fd93625f03,0x000000f20032b9e171844b00ea507e11960bd94a,1,0xe908cdf8ef6a8d62d89f6551eedf38958cae99e8
0x166f6306825495bc8242496aa95eecd6458f50ea,0x99bde8367d7b99d2b1ae6fce12068b49aba47207,1,0xcd6020222cdaa3ad14881604f1d2020bbe0705ff
0x921c6fa37c2fd604506bf50acc98e1c7fde454e3,0xb4ea9a0c1edd5c41585cd3715a1269b9dd3105a5,1,0x7b37d5abbe1905f08d1431114e673d003997aeed
0x2d972d36af86a3c3225f55a03992238375717907,0x000000f20032b9e171844b00ea507e11960bd94a,1,0xfd7fcadc9242dd745d00fdad63a0d42952624885
0xb2a6a82345eaf9668778e9b99342165919f864e1,0x000000f20032b9e171844b00ea507e11960bd94a,1,0x2f1fc7cc346286d535d7b586c9d3d1fcef4771ec
0x9c40c4ef40a51ead3cce96b1ee43232eeb407ea5,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xf03f75a7f90af699523a420a93d296a18f2db862
0x2f7324bfe83f2fd785e3052ba6e3057e6b6a9f69,0xbec6d86f384dafca0f545c4f88ef7ce5e9444ded,0,0xbec6d86f384dafca0f545c4f88ef7ce5e9444ded
0xbe8132ad20e818feb5ced8f1d93455d67119cbbb,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x3c01640dc2d37bd4fc79c0f1f99f087306862e51
0x9c9c453bb9ed3f539a6d6fb92761b2569dc32866,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x16fdd091c5184a5a5ffb501b09d2b6bea17b6721
0xe45f4235a55f55ceff32e37abaea68bf7c2ab83a,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x65a8307681b6fa0065ab40a2316639d78990c845
0xbd715045beb4df4214c36e9a334b393b2d0763d2,0x6efef3b3b7a6d804449b0fd4fe0bed09cad0da12,0,0x6efef3b3b7a6d804449b0fd4fe0bed09cad0da12
0x7a15faec240cbc74ac8530bcbe6512ee71bbb29a,0x000000f20032b9e171844b00ea507e11960bd94a,1,0xd4b4e50a8ce0b164b36c02d941c80cf632b1b8a0
0x7c127d9befc161f4a4d4ad60acca9ec79e0e0e71,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x2c935f6ec4d5fa11522454edad3fd8fc8ae6eb33
0x095d10ecab02ff9326d11e519c5edba578e8bff0,0x2ab4dd403864509b85e59aef060a9e59f28bfaae,0,0x2ab4dd403864509b85e59aef060a9e59f28bfaae
0x7c73b1c9f44416d571362a8b3da6d305620524f3,0xce0256c68288143870ff6da14a2997004634aa1b,0,0xce0256c68288143870ff6da14a2997004634aa1b
0xd75db00ad8508ca62b05b3c63edcebb9820f3362,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x92cbdba8e0a166b7aa6a85d2700ec9d14c09ca7f
0x4b2922aef5318d5a640a3e069d43658215a53d14,0x76f948e5f13b9a84a81e5681df8682bbf524805e,1,0x811e7d17a9c889c51d21cc6d55d0b529aedc1df1
0xf7ae2b73e50e27fe94bb7ed4aaf921f4a2c32592,0x76f948e5f13b9a84a81e5681df8682bbf524805e,1,0xff1896cfc912ceda37319eba452906dea8cb343c
0x7d087a2e3f6517b7d8326a8231935901c545a9a9,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0x60b01152fe5c55972f1ae834702eaea348cfff53
0x940e51d4a485d9ba439efb1df29bc231ea21a486,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xd19029e24eacd9be3def6344fbbcf29b0a000b42
0xd0353e71bd4de73afb3bb795e963f49a8ba63dc8,0x000000f20032b9e171844b00ea507e11960bd94a,1,0xf88823c659cd795d20e38be7e29d87884f90e6f3
0xef3a365088ee50dfc040ceb89f03f8ff2f50fc50,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xa1e17ddac6228616e4c326023f22035c4711a52e
0x6cfbadca207e52dd428c96d9b4935035c24b2b79,0x1c5da96066ed75fed325a5542a9636df577c3f14,0,0x1c5da96066ed75fed325a5542a9636df577c3f14
0x31bdbbfd2aeae88511992331386b349c73e0e7fe,0x612e2daddc89d91409e40f946f9f7cfe422e777e,1,0xf3d315913349d0024a0d2cdde87eeb8c940a8f3e
0xf2bcb4ac5a3906c8b91d6e10ae027da7355f57f7,0x580b786958cf89d5769b8ef4c43ae10cdae1ba3f,0,0x580b786958cf89d5769b8ef4c43ae10cdae1ba3f
0xc144c7c71d7e207553e9de2f10ba8635883219d0,0x000000f20032b9e171844b00ea507e11960bd94a,1,0xa19f3aa08fe33a8fdf31786aaec8f0cb2d6ba830
0x70805c3a3222726ddf3d63fbbdac95dbab7a2aad,0xa093ba7da11f4cace5fbdc8fcc60fcc11f2a3771,0,0xa093ba7da11f4cace5fbdc8fcc60fcc11f2a3771
