DS,N_PROJECTS_WITH_FIRST_MINT
2022-01-27 00:00:00.000,229
2022-01-28 00:00:00.000,256
2022-01-29 00:00:00.000,360
2022-01-30 00:00:00.000,409
2022-01-31 00:00:00.000,371
2022-02-01 00:00:00.000,334
2022-02-02 00:00:00.000,352
2022-02-03 00:00:00.000,366
2022-02-04 00:00:00.000,409
2022-02-05 00:00:00.000,577
2022-02-06 00:00:00.000,602
2022-02-07 00:00:00.000,411
2022-02-08 00:00:00.000,447
2022-02-09 00:00:00.000,438
2022-02-10 00:00:00.000,430
2022-02-11 00:00:00.000,538
2022-02-12 00:00:00.000,511
2022-02-13 00:00:00.000,598
2022-02-14 00:00:00.000,578
2022-02-15 00:00:00.000,430
2022-02-16 00:00:00.000,368
2022-02-17 00:00:00.000,391
2022-02-18 00:00:00.000,309
2022-02-19 00:00:00.000,397
2022-02-20 00:00:00.000,414
2022-02-21 00:00:00.000,367
2022-02-22 00:00:00.000,475
2022-02-23 00:00:00.000,399
2022-02-24 00:00:00.000,354
2022-02-25 00:00:00.000,437
2022-02-26 00:00:00.000,495
2022-02-27 00:00:00.000,464
2022-02-28 00:00:00.000,381
2022-03-01 00:00:00.000,438
2022-03-02 00:00:00.000,440
2022-03-03 00:00:00.000,468
2022-03-04 00:00:00.000,464
2022-03-05 00:00:00.000,504
2022-03-06 00:00:00.000,458
2022-03-07 00:00:00.000,455
2022-03-08 00:00:00.000,494
2022-03-09 00:00:00.000,467
2022-03-10 00:00:00.000,433
2022-03-11 00:00:00.000,534
2022-03-12 00:00:00.000,611
2022-03-13 00:00:00.000,466
2022-03-14 00:00:00.000,437
2022-03-15 00:00:00.000,488
2022-03-16 00:00:00.000,381
2022-03-17 00:00:00.000,1142
2022-03-18 00:00:00.000,406
2022-03-19 00:00:00.000,556
2022-03-20 00:00:00.000,499
2022-03-21 00:00:00.000,464
2022-03-22 00:00:00.000,393
2022-03-23 00:00:00.000,386
2022-03-24 00:00:00.000,370
2022-03-25 00:00:00.000,397
2022-03-26 00:00:00.000,433
2022-03-27 00:00:00.000,408
2022-03-28 00:00:00.000,297
