DS,N_CONTRACTS_CREATED
2022-01-22 00:00:00.000,12557
2022-01-23 00:00:00.000,15604
2022-01-24 00:00:00.000,15379
2022-01-25 00:00:00.000,17682
2022-01-26 00:00:00.000,17026
2022-01-27 00:00:00.000,16206
2022-01-28 00:00:00.000,15604
2022-01-29 00:00:00.000,17013
2022-01-30 00:00:00.000,16997
2022-01-31 00:00:00.000,16980
2022-02-01 00:00:00.000,14054
2022-02-02 00:00:00.000,15048
2022-02-03 00:00:00.000,17928
2022-02-04 00:00:00.000,16833
2022-02-05 00:00:00.000,19742
2022-02-06 00:00:00.000,25603
2022-02-07 00:00:00.000,37569
2022-02-08 00:00:00.000,22479
2022-02-09 00:00:00.000,22416
2022-02-10 00:00:00.000,24038
2022-02-11 00:00:00.000,21335
2022-02-12 00:00:00.000,18408
2022-02-13 00:00:00.000,22498
2022-02-14 00:00:00.000,29636
2022-02-15 00:00:00.000,20656
2022-02-16 00:00:00.000,15457
2022-02-17 00:00:00.000,17022
2022-02-18 00:00:00.000,13044
2022-02-19 00:00:00.000,14943
2022-02-20 00:00:00.000,13702
2022-02-21 00:00:00.000,12869
2022-02-22 00:00:00.000,13670
2022-02-23 00:00:00.000,15202
2022-02-24 00:00:00.000,13004
2022-02-25 00:00:00.000,22318
2022-02-26 00:00:00.000,19158
2022-02-27 00:00:00.000,17569
2022-02-28 00:00:00.000,11185
2022-03-01 00:00:00.000,11774
2022-03-02 00:00:00.000,18260
2022-03-03 00:00:00.000,15686
2022-03-04 00:00:00.000,17266
2022-03-05 00:00:00.000,18718
2022-03-06 00:00:00.000,20210
2022-03-07 00:00:00.000,19883
2022-03-08 00:00:00.000,22545
2022-03-09 00:00:00.000,18181
2022-03-10 00:00:00.000,21360
2022-03-11 00:00:00.000,17095
2022-03-12 00:00:00.000,20383
2022-03-13 00:00:00.000,15462
2022-03-14 00:00:00.000,16021
2022-03-15 00:00:00.000,14908
2022-03-16 00:00:00.000,14115
2022-03-17 00:00:00.000,12855
2022-03-18 00:00:00.000,9800
2022-03-19 00:00:00.000,13245
2022-03-20 00:00:00.000,14275
2022-03-21 00:00:00.000,11718
2022-03-22 00:00:00.000,11752
2022-03-23 00:00:00.000,15036
2022-03-24 00:00:00.000,10970
2022-03-25 00:00:00.000,10155
2022-03-26 00:00:00.000,12179
2022-03-27 00:00:00.000,13125
2022-03-28 00:00:00.000,10254
2022-03-29 00:00:00.000,10004
2022-03-30 00:00:00.000,9905
2022-03-31 00:00:00.000,10628
2022-04-01 00:00:00.000,9372
2022-04-02 00:00:00.000,9228
2022-04-03 00:00:00.000,10768
2022-04-04 00:00:00.000,9060
2022-04-05 00:00:00.000,9327
2022-04-06 00:00:00.000,11537
2022-04-07 00:00:00.000,10469
2022-04-08 00:00:00.000,11169
2022-04-09 00:00:00.000,15691
2022-04-10 00:00:00.000,13348
2022-04-11 00:00:00.000,11336
2022-04-12 00:00:00.000,10509
2022-04-13 00:00:00.000,10282
2022-04-14 00:00:00.000,12079
2022-04-15 00:00:00.000,13309
2022-04-16 00:00:00.000,16586
2022-04-17 00:00:00.000,15347
2022-04-18 00:00:00.000,11012
2022-04-19 00:00:00.000,10326
2022-04-20 00:00:00.000,8794
2022-04-21 00:00:00.000,9379
2022-04-22 00:00:00.000,12621
2022-04-23 00:00:00.000,12626
2022-04-24 00:00:00.000,12764
2022-04-25 00:00:00.000,8908
2022-04-26 00:00:00.000,10757
2022-04-27 00:00:00.000,10941
2022-04-28 00:00:00.000,10939
2022-04-29 00:00:00.000,9993
2022-04-30 00:00:00.000,10418
2022-05-01 00:00:00.000,9834
2022-05-02 00:00:00.000,8693
2022-05-03 00:00:00.000,10832
2022-05-04 00:00:00.000,12837
2022-05-05 00:00:00.000,12889
2022-05-06 00:00:00.000,14573
2022-05-07 00:00:00.000,15417
2022-05-08 00:00:00.000,15763
2022-05-09 00:00:00.000,8943
2022-05-10 00:00:00.000,8248
2022-05-11 00:00:00.000,7868
2022-05-12 00:00:00.000,8394
2022-05-13 00:00:00.000,13501
2022-05-14 00:00:00.000,14950
2022-05-15 00:00:00.000,17605
2022-05-16 00:00:00.000,14599
2022-05-17 00:00:00.000,10615
2022-05-18 00:00:00.000,13186
2022-05-19 00:00:00.000,12464
2022-05-20 00:00:00.000,11247
2022-05-21 00:00:00.000,14466
2022-05-22 00:00:00.000,12654
2022-05-23 00:00:00.000,11455
2022-05-24 00:00:00.000,12279
2022-05-25 00:00:00.000,10127
2022-05-26 00:00:00.000,7953
2022-05-27 00:00:00.000,8588
2022-05-28 00:00:00.000,17924
2022-05-29 00:00:00.000,16238
2022-05-30 00:00:00.000,8235
2022-05-31 00:00:00.000,7862
2022-06-01 00:00:00.000,7416
2022-06-02 00:00:00.000,7874
2022-06-03 00:00:00.000,7947
2022-06-04 00:00:00.000,7639
2022-06-05 00:00:00.000,8247
2022-06-06 00:00:00.000,8112
2022-06-07 00:00:00.000,8407
2022-06-08 00:00:00.000,7008
2022-06-09 00:00:00.000,7775
2022-06-10 00:00:00.000,7084
2022-06-11 00:00:00.000,9665
2022-06-12 00:00:00.000,13558
2022-06-13 00:00:00.000,6536
2022-06-14 00:00:00.000,7658
2022-06-15 00:00:00.000,5959
2022-06-16 00:00:00.000,7904
2022-06-17 00:00:00.000,7539
2022-06-18 00:00:00.000,8852
2022-06-19 00:00:00.000,7796
2022-06-20 00:00:00.000,9298
2022-06-21 00:00:00.000,7041
2022-06-22 00:00:00.000,6336
2022-06-23 00:00:00.000,6100
2022-06-24 00:00:00.000,5826
2022-06-25 00:00:00.000,5904
2022-06-26 00:00:00.000,5688
2022-06-27 00:00:00.000,7210
2022-06-28 00:00:00.000,4825
2022-06-29 00:00:00.000,5157
2022-06-30 00:00:00.000,6398
2022-07-01 00:00:00.000,12807
2022-07-02 00:00:00.000,17976
2022-07-03 00:00:00.000,13423
2022-07-04 00:00:00.000,7230
2022-07-05 00:00:00.000,6497
2022-07-06 00:00:00.000,7179
2022-07-07 00:00:00.000,8769
2022-07-08 00:00:00.000,9730
2022-07-09 00:00:00.000,13769
2022-07-10 00:00:00.000,11806
2022-07-11 00:00:00.000,6686
2022-07-12 00:00:00.000,6554
2022-07-13 00:00:00.000,7852
2022-07-14 00:00:00.000,9079
2022-07-15 00:00:00.000,7420
2022-07-16 00:00:00.000,10112
2022-07-17 00:00:00.000,8508
2022-07-18 00:00:00.000,6229
2022-07-19 00:00:00.000,7745
2022-07-20 00:00:00.000,6710
2022-07-21 00:00:00.000,8009
2022-07-22 00:00:00.000,12799
2022-07-23 00:00:00.000,13316
2022-07-24 00:00:00.000,12925
2022-07-25 00:00:00.000,9039
2022-07-26 00:00:00.000,6300
2022-07-27 00:00:00.000,7922
2022-07-28 00:00:00.000,7345
2022-07-29 00:00:00.000,7040
2022-07-30 00:00:00.000,14626
2022-07-31 00:00:00.000,10842
2022-08-01 00:00:00.000,8679
2022-08-02 00:00:00.000,7283
2022-08-03 00:00:00.000,10533
2022-08-04 00:00:00.000,7368
2022-08-05 00:00:00.000,6919
2022-08-06 00:00:00.000,12930
2022-08-07 00:00:00.000,11879
2022-08-08 00:00:00.000,7157
2022-08-09 00:00:00.000,6489
2022-08-10 00:00:00.000,7016
2022-08-11 00:00:00.000,7939
2022-08-12 00:00:00.000,7545
2022-08-13 00:00:00.000,9936
2022-08-14 00:00:00.000,10950
2022-08-15 00:00:00.000,10118
2022-08-16 00:00:00.000,10714
2022-08-17 00:00:00.000,10426
2022-08-18 00:00:00.000,9376
2022-08-19 00:00:00.000,6557
2022-08-20 00:00:00.000,10681
2022-08-21 00:00:00.000,18774
2022-08-22 00:00:00.000,9539
2022-08-23 00:00:00.000,7380
2022-08-24 00:00:00.000,9206
2022-08-25 00:00:00.000,9310
2022-08-26 00:00:00.000,7823
2022-08-27 00:00:00.000,10564
2022-08-28 00:00:00.000,10842
2022-08-29 00:00:00.000,8059
2022-08-30 00:00:00.000,6961
2022-08-31 00:00:00.000,6177
2022-09-01 00:00:00.000,6168
2022-09-02 00:00:00.000,7666
2022-09-03 00:00:00.000,7262
2022-09-04 00:00:00.000,10373
2022-09-05 00:00:00.000,8320
2022-09-06 00:00:00.000,6113
2022-09-07 00:00:00.000,6188
2022-09-08 00:00:00.000,6291
2022-09-09 00:00:00.000,6339
2022-09-10 00:00:00.000,6691
2022-09-11 00:00:00.000,7979
2022-09-12 00:00:00.000,6467
2022-09-13 00:00:00.000,7119
2022-09-14 00:00:00.000,7249
2022-09-15 00:00:00.000,8593
2022-09-16 00:00:00.000,9649
2022-09-17 00:00:00.000,11704
2022-09-18 00:00:00.000,11694
2022-09-19 00:00:00.000,11139
2022-09-20 00:00:00.000,9121
2022-09-21 00:00:00.000,8678
2022-09-22 00:00:00.000,8495
2022-09-23 00:00:00.000,7539
2022-09-24 00:00:00.000,9798
2022-09-25 00:00:00.000,7545
2022-09-26 00:00:00.000,7544
2022-09-27 00:00:00.000,7730
2022-09-28 00:00:00.000,9351
2022-09-29 00:00:00.000,8215
2022-09-30 00:00:00.000,8110
2022-10-01 00:00:00.000,9139
2022-10-02 00:00:00.000,11517
2022-10-03 00:00:00.000,6474
2022-10-04 00:00:00.000,7440
2022-10-05 00:00:00.000,9380
2022-10-06 00:00:00.000,9090
2022-10-07 00:00:00.000,9633
2022-10-08 00:00:00.000,6191
2022-10-09 00:00:00.000,8200
2022-10-10 00:00:00.000,26093
2022-10-11 00:00:00.000,27210
2022-10-12 00:00:00.000,32257
2022-10-13 00:00:00.000,23886
2022-10-14 00:00:00.000,41105
2022-10-15 00:00:00.000,59605
2022-10-16 00:00:00.000,46567
2022-10-17 00:00:00.000,18151
2022-10-18 00:00:00.000,18167
2022-10-19 00:00:00.000,25758
2022-10-20 00:00:00.000,18555
2022-10-21 00:00:00.000,14394
2022-10-22 00:00:00.000,77531
2022-10-23 00:00:00.000,39847
2022-10-24 00:00:00.000,46770
2022-10-25 00:00:00.000,32438
2022-10-26 00:00:00.000,18662
2022-10-27 00:00:00.000,20604
2022-10-28 00:00:00.000,21244
2022-10-29 00:00:00.000,35121
2022-10-30 00:00:00.000,52129
2022-10-31 00:00:00.000,21703
2022-11-01 00:00:00.000,21367
2022-11-02 00:00:00.000,59308
2022-11-03 00:00:00.000,52818
2022-11-04 00:00:00.000,55105
2022-11-05 00:00:00.000,86330
2022-11-06 00:00:00.000,72359
2022-11-07 00:00:00.000,31456
2022-11-08 00:00:00.000,21435
2022-11-09 00:00:00.000,11000
2022-11-10 00:00:00.000,13843
2022-11-11 00:00:00.000,33763
2022-11-12 00:00:00.000,63619
2022-11-13 00:00:00.000,56543
2022-11-14 00:00:00.000,19516
2022-11-15 00:00:00.000,37768
2022-11-16 00:00:00.000,56642
2022-11-17 00:00:00.000,53743
2022-11-18 00:00:00.000,82291
2022-11-19 00:00:00.000,109889
2022-11-20 00:00:00.000,85008
2022-11-21 00:00:00.000,62369
2022-11-22 00:00:00.000,56604
2022-11-23 00:00:00.000,74637
2022-11-24 00:00:00.000,124644
2022-11-25 00:00:00.000,120935
2022-11-26 00:00:00.000,120697
2022-11-27 00:00:00.000,116543
2022-11-28 00:00:00.000,77641
2022-11-29 00:00:00.000,64736
2022-11-30 00:00:00.000,51164
2022-12-01 00:00:00.000,75721
2022-12-02 00:00:00.000,72074
2022-12-03 00:00:00.000,98249
2022-12-04 00:00:00.000,99617
2022-12-05 00:00:00.000,77855
2022-12-06 00:00:00.000,75302
2022-12-07 00:00:00.000,82510
2022-12-08 00:00:00.000,73946
2022-12-09 00:00:00.000,43433
2022-12-10 00:00:00.000,79400
2022-12-11 00:00:00.000,77495
2022-12-12 00:00:00.000,49627
2022-12-13 00:00:00.000,21180
2022-12-14 00:00:00.000,34349
2022-12-15 00:00:00.000,39327
2022-12-16 00:00:00.000,26962
2022-12-17 00:00:00.000,41422
2022-12-18 00:00:00.000,56150
2022-12-19 00:00:00.000,44099
2022-12-20 00:00:00.000,25882
2022-12-21 00:00:00.000,38288
2022-12-22 00:00:00.000,55620
2022-12-23 00:00:00.000,43360
2022-12-24 00:00:00.000,70401
2022-12-25 00:00:00.000,112675
2022-12-26 00:00:00.000,63104
2022-12-27 00:00:00.000,30565
2022-12-28 00:00:00.000,40516
2022-12-29 00:00:00.000,47849
2022-12-30 00:00:00.000,69098
2022-12-31 00:00:00.000,114190
2023-01-01 00:00:00.000,139644
2023-01-02 00:00:00.000,65811
2023-01-03 00:00:00.000,65920
2023-01-04 00:00:00.000,40769
2023-01-05 00:00:00.000,36071
2023-01-06 00:00:00.000,33988
2023-01-07 00:00:00.000,64904
2023-01-08 00:00:00.000,61909
2023-01-09 00:00:00.000,20166
2023-01-10 00:00:00.000,19893
2023-01-11 00:00:00.000,16126
2023-01-12 00:00:00.000,18294
2023-01-13 00:00:00.000,19829
2023-01-14 00:00:00.000,9790
2023-01-15 00:00:00.000,45911
2023-01-16 00:00:00.000,20861
2023-01-17 00:00:00.000,20061
2023-01-18 00:00:00.000,16942
2023-01-19 00:00:00.000,29414
2023-01-20 00:00:00.000,37227
2023-01-21 00:00:00.000,44032
2023-01-22 00:00:00.000,71657
2023-01-23 00:00:00.000,56336
2023-01-24 00:00:00.000,45349
2023-01-25 00:00:00.000,44575
2023-01-26 00:00:00.000,35330
2023-01-27 00:00:00.000,33670
2023-01-28 00:00:00.000,57423
2023-01-29 00:00:00.000,48750
2023-01-30 00:00:00.000,29794
2023-01-31 00:00:00.000,24281
2023-02-01 00:00:00.000,19701
2023-02-02 00:00:00.000,13739
2023-02-03 00:00:00.000,8937
2023-02-04 00:00:00.000,13413
2023-02-05 00:00:00.000,23660
2023-02-06 00:00:00.000,16334
2023-02-07 00:00:00.000,7337
2023-02-08 00:00:00.000,8182
2023-02-09 00:00:00.000,8407
2023-02-10 00:00:00.000,12299
2023-02-11 00:00:00.000,43529
2023-02-12 00:00:00.000,41536
2023-02-13 00:00:00.000,20240
